R,Corr_x_p,Corr_x,Corr_x_m,Corr_z_p,Corr_z,Corr_z_m
135.0,1.6079946588809286e-5,7.914746385405153e-5,8.935457012548511e-5,-1.4378109317205907e-12,-2.963590978150792e-11,-8.222664198721696e-10
136.0,1.2161690485793194e-5,7.937277233860847e-5,4.4776791213918425e-5,-3.5464198588569957e-23,-1.4113314714395994e-21,-2.9784831174821603e-21
137.0,1.3299071709095943e-5,6.003173485994554e-5,4.490425696557307e-5,-1.4811938262865677e-11,-3.5211724171093864e-11,-9.454297887460808e-12
138.0,1.1891848104116924e-5,6.5646001076616e-5,3.3962281634062484e-5,-6.206234752762809e-23,-8.68511674735747e-22,-4.5023582008777255e-22
139.0,1.0508570159715044e-5,5.869975668391114e-5,3.713848986565869e-5,-3.5801055677721334e-12,-3.6274163246810574e-10,-1.1233065962916128e-11
140.0,7.892190850287508e-6,5.187171128241459e-5,3.3208729899293395e-5,-4.43302482342588e-23,-1.5198954307527242e-21,-2.770681969789189e-22
141.0,9.567745511345106e-6,3.8956912210683636e-5,2.9345839688360772e-5,-3.1601041573985867e-9,-8.767612415162713e-11,-1.1571999897660183e-10
142.0,2.972251824727772e-5,4.722767467363708e-5,2.2039436760896662e-5,-1.3299074470641132e-23,-1.085639593397558e-21,-4.848693446965245e-22
143.0,2.2408450576880876e-5,0.00014671433522131717,2.6718527990736778e-5,-4.824835428109784e-10,-7.739036718081324e-8,-2.7969993209938563e-11
144.0,2.0620815657268587e-5,0.00011061111654050152,8.30019919325242e-5,-2.216512411737003e-23,-3.2569187801584884e-22,-3.4633524621351563e-22
145.0,2.555155079625915e-5,0.00010178711089376098,6.257700032442614e-5,-4.958766761477198e-9,-1.1815932854427311e-8,-2.4688683099357496e-8
146.0,3.79010825441859e-5,0.0001261258806457365,5.75849179597514e-5,2.881466135165978e-23,-5.4281979669450725e-22,-1.0390057386359581e-22
147.0,3.2585364062911064e-5,0.00018708482516106498,7.135430434965988e-5,-9.504596496047617e-9,-1.214392821630158e-7,-3.769459073434249e-9
